#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
34,Bangladesh,"611,295",,"9,046 ",,"542,099",,"60,150",,"3,684",55,"4,670,576","28,151","165,913,044 ",Asia,271,"18,341",36
35,Switzerland,"601,124",,"10,337 ",,"547,252",,"43,535",166,"69,080","1,188","6,012,966","690,997","8,701,876 ",Europe,14,842,1
36,Serbia,"600,596",,"5,308 ",,"502,689",,"92,599",290,"68,947",609,"3,424,443","393,118","8,710,982 ",Europe,15,"1,641",3
37,Austria,"549,592","+3,363","9,368 ",+29,"503,729","+2,613","36,495",531,"60,763","1,036","23,805,240","2,631,928","9,044,790 ",Europe,16,965,0
38,Morocco,"496,097",,"8,818 ",,"483,363",,"3,916",249,"13,323",237,"5,969,480","160,312","37,236,577 ",Africa,75,"4,223",6
39,Japan,"472,112",,"9,113 ",,"445,024",,"17,975",382,"3,741",72,"9,804,825","77,701","126,186,249 ",Asia,267,"13,847",13
40,Lebanon,"468,400",,"6,234 ",,"370,687",,"91,479",963,"68,857",916,"3,560,877","523,464","6,802,523 ",Asia,15,"1,091",2
41,UAE,"461,444",,"1,497 ",,"445,355",,"14,592",,"46,239",150,"37,599,048","3,767,650","9,979,442 ",Asia,22,"6,666",0
42,Saudi Arabia,"390,007",,"6,669 ",,"378,083",,"5,255",693,"11,074",189,"15,126,112","429,509","35,217,238 ",Asia,90,"5,281",2
43,Slovakia,"362,489","+1,304","9,790 ",+71,"255,300",,"97,399",599,"66,370","1,793","2,360,594","432,215","5,461,622 ",Europe,15,558,2
44,Panama,"355,051",,"6,114 ",,"343,904",,"5,033",105,"81,335","1,401","2,154,955","493,656","4,365,296 ",North America,12,714,2
45,Malaysia,"346,678","+1,178","1,278 ",+6,"331,001","+1,377","14,399",163,"10,610",39,"7,655,913","234,306","32,674,891 ",Asia,94,"25,567",4
